"","subject","slOrder","pfOrder","languageA","languageB","SLcorrectChinese","SLcorrectUnfamiliar","PFavgChinese","PFavgUnfamiliar","SL1correct","SL2correct","PF1avg","PF2avg"
"1","0aEn0wDnq",2,2,"English","Chinese",0.404761904761905,0.357142857142857,123.125,184.375,0.357142857142857,0.404761904761905,184.375,123.125
"2","0BAJlOcD5",2,2,"Chinese","Chinese",0.833333333333333,0.428571428571429,96.25,133.125,0.428571428571429,0.833333333333333,133.125,96.25
"3","0LT9JwaUE",1,2,"English","English",0.404761904761905,0.547619047619048,126.25,108.4375,0.404761904761905,0.547619047619048,108.4375,126.25
"5","1H1p7oEuK",2,2,"Chinese","Chinese",0.619047619047619,0.5,94.375,195.625,0.5,0.619047619047619,195.625,94.375
"6","1l8rtfbtD",2,1,"English","English",0.357142857142857,0.285714285714286,131.25,NA,0.285714285714286,0.357142857142857,131.25,NA
"7","2ck1akV3d",2,2,"Chinese","Chinese",0.785714285714286,0.333333333333333,95.625,185,0.333333333333333,0.785714285714286,185,95.625
"8","2fOJx7I5L",2,1,"English","English",0.357142857142857,0.452380952380952,116.875,134.375,0.452380952380952,0.357142857142857,116.875,134.375
"9","2I54W9ZAX",2,1,"English","English",0.380952380952381,0.642857142857143,139.375,119.375,0.642857142857143,0.380952380952381,139.375,119.375
"10","2q9t5vo2D",1,1,"Chinese","Chinese",0.30952380952381,0.357142857142857,109.6875,209.375,0.30952380952381,0.357142857142857,109.6875,209.375
"11","2zbTVYg1w",1,2,"Chinese","Chinese",0.880952380952381,0.5,104.375,100,0.880952380952381,0.5,100,104.375
"12","33V6zn2gn",2,2,"English","English",0.523809523809524,0.666666666666667,126.5625,128.75,0.666666666666667,0.523809523809524,128.75,126.5625
"13","3o0EmVRqQ",1,1,"English","English",0.452380952380952,0.428571428571429,132.5,111.25,0.452380952380952,0.428571428571429,132.5,111.25
"14","3O2VgVcWv",2,2,"Chinese","Chinese",0.642857142857143,0.428571428571429,87.5,122.5,0.428571428571429,0.642857142857143,122.5,87.5
"15","3SRSHC1gh",2,1,"Chinese","Chinese",0.357142857142857,0.333333333333333,76.25,103.75,0.333333333333333,0.357142857142857,76.25,103.75
"16","4c0n27tza",1,1,"English","English",0.642857142857143,0.714285714285714,125,128.125,0.642857142857143,0.714285714285714,125,128.125
"17","5A7nSw9JF",1,1,"Chinese","Chinese",0.476190476190476,0.476190476190476,111.25,116.25,0.476190476190476,0.476190476190476,111.25,116.25
